Name,Pattern Description,Canopy Model,Size (Ft),
TF-170-CP7-0085,"SIL-WHT-YEL-YEL-YEL-WHT-SIL | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Storm - Freefall,170,
TF-190-CP7-0027,"TGR-WHT-SIL-SIL-SIL-WHT-TGR | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Storm - Freefall,190,
TF-190-CP7-0086,"RED-BLK-RED-RED-RED-RED-RED | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Storm - Freefall,190,
VE-084-H01-CP7-0031,"RED-WHT-RED-RED-RED-WHT-RED | ALL RIBS & X BRACES: RED | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Velocity,84,
VE-103-RES-0032,"GOL-JAD-GOL-GOL-GOL-JAD-GOL |DOM:02/12|FABRIC:VERY GD,LINE:EXCEL|$1350.00",Velocity,103,
VK-071-RES-0004,"BLK-BLK-TUR-TUR-TUR-TUR-TUR-BLK-BLK ARTWORK|DOM:12/14|FABRIC:VERY GD,LINE:VERY GD|$2595.00",Valkyrie,71,
VK-079-PS-V09-CP7-0078,"BLK-SIL-SIL-SIL-SIL-SIL-BLK | X BRACES,TAIL RIBS: BLK | INNER RIBS MATCH | OUTER RIBS: WHT",Valkyrie - Hybrid,79,
VK-084-PS-V09-CP7-0072,"TUR-WHT-WHT-WHT-WHT-WHT-TUR | X BRACES, TAIL RIBS: BLK | INNER RIBS: WHT | OUTER RIBS: WHT",Valkyrie - Hybrid,84,
VK-084-RES-0001,"BLK-BLK-RBL-RBL-RBL-RBL-RBL-BLK-BLK |DOM:11/16|FABRIC:EXCEL,LINE:VERY GD|$2950.00",Valkyrie,84,
VK-096-PS-V09-CP7-0078,"BLK-SIL-SIL-SIL-SIL-SIL-BLK | X BRACES,TAIL RIBS: BLK | INNER RIBS MATCH | OUTER RIBS: WHT",Valkyrie - Hybrid,96,
VK-103-PS-V09-CP7-0078,"BLK-SIL-SIL-SIL-SIL-SIL-BLK | X BRACES,TAIL RIBS: BLK | INNER RIBS MATCH | OUTER RIBS: WHT",Valkyrie - Hybrid,103,
VK-103-RES-0003,"BLK-BLK-TUR-TUR-TUR-TUR-TUR-BLK-BLK ARTWORK|DOM:02/15|FABRIC:EXCEL,LINE:VERY GD|$2795.00",Valkyrie,103,
ZE-235-RES-0001,"NBL-WHT-RED-RED-RED-WHT-NBL |DOM:07/10|FABRIC:EXCEL,LINE:EXCEL|$1800.00",Zero,235,
ZE-285-CP7-0096,RBL-WHT-RBL-RBL-RBL-WHT-RBL,Zero,285,
ZE-295-CP7-0096,RBL-WHT-RBL-RBL-RBL-WHT-RBL,Zero,295,
SB-190-H02-CP9-0096,BLK-WHT-TUR-TUR-TUR-TUR-TUR-WHT-BLK|Tail Ribs BLK,Sabre3,190,
SB-190-H02-CP9-0101,BLK-WHT-RBL-RBL-RBL-RBL-RBL-WHT-BLK|Tail Ribs BLK,Sabre3,190,
SB-210-H02-CP9-0097,BLK-WHT-WAT-WAT-WAT-WAT-WAT-WHT-BLK|Tail Ribs BLK,Sabre3,210,
SB-210-H02-CP9-0101,BLK-WHT-RBL-RBL-RBL-RBL-RBL-WHT-BLK|Tail Ribs BLK,Sabre3,210,
SP-097-RES-0006,"RBL-LEM-RBL-RBL-RBL-LEM-RBL |DOM:04/13|FABRIC:GOOD,LINE:RELINE|$1440.00",Spectre,97,
SP-150-CP7-0085,"SIL-WHT-YEL-YEL-YEL-WHT-SIL | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Spectre,150,
ST-170-CP9-0040,"RBL-WHT-SIL-WHT-RBL-RBL-RBL-RBL-RBL | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Stiletto,170,
TF-135-CP7-0080,"SIL-WHT-RBL-RBL-RBL-WHT-SIL | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Storm - Freefall,135,
TF-135-CP7-0083,"SIL-WHT-KGR-KGR-KGR-WHT-SIL | SLIDER: KGR | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Storm - Freefall,135,
TF-150-CP7-0086,RED-BLK-RED-RED-RED-RED-RED,Storm - Freefall,150,
TF-170-CP7-0086,"RED-BLK-RED-RED-RED-RED-RED | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Storm - Freefall,170,
TF-190-CP7-0081,"SIL-WHT-LBL-LBL-LBL-LBL-LBL | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Storm - Freefall,190,
TF-190-CPX-0001,NBL-NBL-NBL-NBL-NBL-NBL-NBL,Storm - Freefall,190,
VE-090-RES-0042,"LEM-LEM-LEM-LEM-LEM-LEM-BLK ARTWORK|DOM:12/14|FABRIC:EXCEL,LINE:EXCEL|$1500.00",Velocity,90,
VE-103-RES-0034,"RBL-RBL-RBL-RBL-RBL-WHT-SIL |DOM:04/12|FABRIC:VERY GD,LINE:GOOD|$1900.00",Velocity,103,
VK-075-RES-0004,"BLK-BLK-TUR-TUR-TUR-TUR-TUR-BLK-BLK ARTWORK|DOM:02/15|FABRIC:GOOD,LINE:RELINE|$2695.00",Valkyrie,75,
VK-079-RES-0004,"BLK-BLK-TUR-TUR-TUR-TUR-TUR-BLK-BLK ARTWORK|DOM:01/15|FABRIC:GOOD,LINE:GOOD|$2395.00",Valkyrie,79,
VK-084-PS-V09-CP7-0078,"BLK-SIL-SIL-SIL-SIL-SIL-BLK | X BRACES,TAIL RIBS: BLK | INNER RIBS MATCH | OUTER RIBS: WHT",Valkyrie - Hybrid,84,
VK-090-PS-V09-CP7-0098,BLK-RED-RED-RED-RED-RED-BLK | X BRACES TAIL RIBS: BLK | INNER RIBS BLK | OUTER RIBS: WHT,Valkyrie - Hybrid,90,
VK-096-RES-0003,"BLK-BLK-TUR-TUR-TUR-TUR-TUR-BLK-BLK ARTWORK|DOM:01/15|FABRIC:GOOD,LINE:VERY GD|$2495.00",Valkyrie,96,
VK-103-RES-0002,"BLK-BLK-TUR-TUR-TUR-TUR-TUR-BLK-BLK ARTWORK|DOM:01/15|FABRIC:VERY GD,LINE:EXCEL|$2695.00",Valkyrie,103,
ZE-235-CP7-0062,"NBL-WHT-RED-RED-RED-WHT-NBL | -$200 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Zero,235,
ZE-255-CP7-0062,"NBL-WHT-RED-RED-RED-WHT-NBL | -$400 New canopy, never jumped, current production revision. Price reduced due to time on stock shelf.",Zero,255,
ZE-285-CP7-0097,SIL-WHT-TGR-TGR-TGR-WHT-SIL,Zero,285,
ZE-295-RES-0001,"RBL-RBL-RED-WHT-RED-RBL-RBL |DOM:10/10|FABRIC:GOOD,LINE:EXCEL|$1800.00|ARTWORK",Zero,295,
